memep_id;pers_id;party_id;memep_startdate;memep_enddate;memep_type_raw
NL_Aalberse_Piet_1910__NL_CDA_NT__1;NL_Aalberse_Piet_1910;NL_CDA_NT;11oct1980;01jan1990;regular
NL_Aalberse_Piet_1910__NL_KVP_NT__1;NL_Aalberse_Piet_1910;NL_KVP_NT;01jan1910;10oct1980;regular
NL_Aantjes_Wim_1923__NL_ARP_NT__1;NL_Aantjes_Wim_1923;NL_ARP_NT;01jan1923;10oct1980;regular
NL_Aantjes_Wim_1923__NL_CDA_NT__1;NL_Aantjes_Wim_1923;NL_CDA_NT;11oct1980;01jan2003;regular
NL_Aarden_Jacques_1914__NL_KVP_NT__1;NL_Aarden_Jacques_1914;NL_KVP_NT;01dec1945;26apr1968;regular
NL_Aarden_Jacques_1914__NL_PPR_NT__1;NL_Aarden_Jacques_1914;NL_PPR_NT;27apr1968;01sep1984;regular
NL_Aarts_Harry_1930__NL_CDA_NT__1;NL_Aarts_Harry_1930;NL_CDA_NT;11oct1980;01jan2010;regular
NL_Aarts_Harry_1930__NL_KVP_NT__1;NL_Aarts_Harry_1930;NL_KVP_NT;01jan1930;10oct1980;regular
NL_Aasted_Ine_1961__NL_CDA_NT__1;NL_Aasted_Ine_1961;NL_CDA_NT;11oct1980;01jan2041;regular
NL_Abel_Ron_1950__NL_SP_NT__1;NL_Abel_Ron_1950;NL_SP_NT;01jan1950;01jan2030;regular
NL_Abma_Hette_1917__NL_SGP_NT__1;NL_Abma_Hette_1917;NL_SGP_NT;01jan1917;01jan1997;regular
NL_Achttienribbe_Jan_1943__NL_PvdA_NT__1;NL_Achttienribbe_Jan_1943;NL_PvdA_NT;01jan1943;01jan2023;regular
NL_Adelmund_Karin_1949__NL_PvdA_NT__1;NL_Adelmund_Karin_1949;NL_PvdA_NT;01jan1949;01jan2029;regular
NL_Agema_Fleur_1976__NL_PVV_NT__1;NL_Agema_Fleur_1976;NL_PVV_NT;01jan1976;01jan2056;regular
NL_Aiking_Liesbeth_1928__NL_AOV_NT__1;NL_Aiking_Liesbeth_1928;NL_AOV_NT;01jan1928;01jan2008;regular
NL_Akkerman_Sjouke_1947__NL_PvdA_NT__1;NL_Akkerman_Sjouke_1947;NL_PvdA_NT;01jan1947;01jan2027;regular
NL_Albayrak_Nebahat_1968__NL_PvdA_NT__1;NL_Albayrak_Nebahat_1968;NL_PvdA_NT;01jan1968;01jan2048;regular
NL_Albering_Leo_1904__NL_CDA_NT__1;NL_Albering_Leo_1904;NL_CDA_NT;11oct1980;01jan1984;regular
NL_Albering_Leo_1904__NL_KVP_NT__1;NL_Albering_Leo_1904;NL_KVP_NT;01jan1904;10oct1980;regular
NL_Albers_Wim_1920__NL_PvdA_NT__1;NL_Albers_Wim_1920;NL_PvdA_NT;01jan1920;01jan2000;regular
NL_Alblas_Ton_1940__NL_CDA_NT__1;NL_Alblas_Ton_1940;NL_CDA_NT;11oct1980;01may2002;regular
NL_Alblas_Ton_1940__NL_LPF_NT__1;NL_Alblas_Ton_1940;NL_LPF_NT;20may2002;01jan2020;regular
NL_Alders_Hans_1952__NL_PvdA_NT__1;NL_Alders_Hans_1952;NL_PvdA_NT;01jan1952;01jan2032;regular
NL_Algra_Rendert_1963__NL_CDA_NT__1;NL_Algra_Rendert_1963;NL_CDA_NT;11oct1980;01jan2043;regular
NL_Andela_Mieke_1923__NL_CDA_NT__1;NL_Andela_Mieke_1923;NL_CDA_NT;11oct1980;01jan2003;regular
NL_Andela_Mieke_1923__NL_KVP_NT__1;NL_Andela_Mieke_1923;NL_KVP_NT;01jan1923;10oct1980;regular
NL_Andriessen_Frans_1929__NL_CDA_NT__1;NL_Andriessen_Frans_1929;NL_CDA_NT;11oct1980;01jan2009;regular
NL_Andriessen_Frans_1929__NL_KVP_NT__1;NL_Andriessen_Frans_1929;NL_KVP_NT;01jan1929;10oct1980;regular
NL_Anker_Ed_1978__NL_CU_NT__1;NL_Anker_Ed_1978;NL_CU_NT;01jan1978;01jan2058;regular
NL_Ankersmit_Hendrik_1895__NL_VVD_NT__1;NL_Ankersmit_Hendrik_1895;NL_VVD_NT;01jan1895;01jan1975;regular
NL_Apostolou_Thanasis_1946__NL_PvdA_NT__1;NL_Apostolou_Thanasis_1946;NL_PvdA_NT;01jan1946;01jan2026;regular
NL_Aptroot_Charlie_1950__NL_VVD_NT__1;NL_Aptroot_Charlie_1950;NL_VVD_NT;01jan1950;01jan2030;regular
NL_Arib_Khadija_1960__NL_PvdA_NT__1;NL_Arib_Khadija_1960;NL_PvdA_NT;01jan1960;01jan2040;regular
NL_Assen_Anneke_1949__NL_CDA_NT__1;NL_Assen_Anneke_1949;NL_CDA_NT;11oct1980;01jan2029;regular
NL_Assmann_Wim_1907__NL_CDA_NT__1;NL_Assmann_Wim_1907;NL_CDA_NT;11oct1980;01jan1987;regular
NL_Assmann_Wim_1907__NL_KVP_NT__1;NL_Assmann_Wim_1907;NL_KVP_NT;01jan1907;10oct1980;regular
NL_Atsma_Joop_1956__NL_CDA_NT__1;NL_Atsma_Joop_1956;NL_CDA_NT;11oct1980;01jan2036;regular
NL_Augusteijn_Marijke_1944__NL_D66_NT__1;NL_Augusteijn_Marijke_1944;NL_D66_NT;01jan1944;01jan2024;regular
NL_Azmani_Malik_1976__NL_VVD_NT__1;NL_Azmani_Malik_1976;NL_VVD_NT;01jan1976;01jan2056;regular
NL_Azough_Naima_1972__NL_GL_NT__1;NL_Azough_Naima_1972;NL_GL_NT;01jan1972;01jan2052;regular
NL_Baart_Ies_1914__NL_PvdA_NT__1;NL_Baart_Ies_1914;NL_PvdA_NT;01jan1914;01jan1994;regular
NL_Baas_Ada_1942__NL_ARP_NT__1;NL_Baas_Ada_1942;NL_ARP_NT;01jan1942;10oct1980;regular
NL_Baas_Ada_1942__NL_CDA_NT__1;NL_Baas_Ada_1942;NL_CDA_NT;11oct1980;01jan2022;regular
NL_Baeten_Fons_1920__NL_CDA_NT__1;NL_Baeten_Fons_1920;NL_CDA_NT;11oct1980;01jan2000;regular
NL_Baeten_Fons_1920__NL_KVP_NT__1;NL_Baeten_Fons_1920;NL_KVP_NT;01jan1920;10oct1980;regular
NL_Bakker_Ben_1931__NL_CDA_NT__1;NL_Bakker_Ben_1931;NL_CDA_NT;11oct1980;01jan2011;regular
NL_Bakker_Ben_1931__NL_KVP_NT__1;NL_Bakker_Ben_1931;NL_KVP_NT;01jan1931;10oct1980;regular
NL_Bakker_Bert_1958__NL_D66_NT__1;NL_Bakker_Bert_1958;NL_D66_NT;01jan1958;01jan2038;regular
NL_Bakker_Ernst_1946__NL_D66_NT__1;NL_Bakker_Ernst_1946;NL_D66_NT;01jan1946;01jan2026;regular
NL_Bakker_Joop_1921__NL_ARP_NT__1;NL_Bakker_Joop_1921;NL_ARP_NT;01jan1921;10oct1980;regular
NL_Bakker_Joop_1921__NL_CDA_NT__1;NL_Bakker_Joop_1921;NL_CDA_NT;11oct1980;01jan2001;regular
NL_Bakker_Marcus_1923__NL_CPN_NT__1;NL_Bakker_Marcus_1923;NL_CPN_NT;01jan1923;05sep1989;regular
NL_Bakker_Marcus_1923__NL_GL_NT__1;NL_Bakker_Marcus_1923;NL_GL_NT;06sep1989;01jan2003;regular
NL_Balemans_Eric_1961__NL_VVD_NT__1;NL_Balemans_Eric_1961;NL_VVD_NT;01jan1961;01jan2041;regular
NL_Balkenende_Jan_1956__NL_CDA_NT__1;NL_Balkenende_Jan_1956;NL_CDA_NT;11oct1980;01jan2036;regular
NL_Barendregt_Nel_1936__NL_PvdA_NT__1;NL_Barendregt_Nel_1936;NL_PvdA_NT;01jan1936;01jan2016;regular
NL_Barth_Marleen_1964__NL_PvdA_NT__1;NL_Barth_Marleen_1964;NL_PvdA_NT;01jan1964;01jan2044;regular
NL_Baruch_Jacques_1917__NL_DS70_NT__1;NL_Baruch_Jacques_1917;NL_DS70_NT;01jan1917;01jan1997;regular
NL_Bashir_Farshad_1988__NL_SP_NT__1;NL_Bashir_Farshad_1988;NL_SP_NT;01jan1988;01jan2068;regular
NL_Beckers_Ria_1938__NL_GL_NT__1;NL_Beckers_Ria_1938;NL_GL_NT;07sep1989;01jan2018;regular
NL_Beckers_Ria_1938__NL_PPR_NT__1;NL_Beckers_Ria_1938;NL_PPR_NT;01jan1938;05sep1989;regular
NL_Beekmans_Jan_1927__NL_PvdA_NT__1;NL_Beekmans_Jan_1927;NL_PvdA_NT;01jan1927;01jan2007;regular
NL_Beel_Louis_1902__NL_CDA_NT__1;NL_Beel_Louis_1902;NL_CDA_NT;11oct1980;01jan1982;regular
NL_Beel_Louis_1902__NL_KVP_NT__1;NL_Beel_Louis_1902;NL_KVP_NT;01jan1902;10oct1980;regular
NL_Beelaerts_Pieter_1932__NL_CDA_NT__1;NL_Beelaerts_Pieter_1932;NL_CDA_NT;11oct1980;01jan2012;regular
NL_Beelaerts_Pieter_1932__NL_CHU_NT__1;NL_Beelaerts_Pieter_1932;NL_CHU_NT;01jan1932;10oct1980;regular
NL_Beernink_Henk_1910__NL_CDA_NT__1;NL_Beernink_Henk_1910;NL_CDA_NT;11oct1980;01jan1990;regular
NL_Beernink_Henk_1910__NL_CHU_NT__1;NL_Beernink_Henk_1910;NL_CHU_NT;01jan1910;10oct1980;regular
NL_Beertema_Harm_1952__NL_PVV_NT__1;NL_Beertema_Harm_1952;NL_PVV_NT;01jan1952;01jan2032;regular
NL_Beijlen_Jacqueline_1953__NL_PvdA_NT__1;NL_Beijlen_Jacqueline_1953;NL_PvdA_NT;01jan1953;01jan2033;regular
NL_Beinema_Marten_1932__NL_ARP_NT__1;NL_Beinema_Marten_1932;NL_ARP_NT;01jan1932;10oct1980;regular
NL_Beinema_Marten_1932__NL_CDA_NT__1;NL_Beinema_Marten_1932;NL_CDA_NT;11oct1980;01jan2012;regular
NL_Belinfante_Judith_1943__NL_PvdA_NT__1;NL_Belinfante_Judith_1943;NL_PvdA_NT;01jan1943;01jan2023;regular
NL_Benschop_Dick_1957__NL_PvdA_NT__1;NL_Benschop_Dick_1957;NL_PvdA_NT;01jan1957;01jan2037;regular
NL_Berckmoes_Ybeltje_1967__NL_VVD_NT__1;NL_Berckmoes_Ybeltje_1967;NL_VVD_NT;01jan1967;01jan2047;regular
NL_Berg_Ed_1932__NL_PvdA_NT__1;NL_Berg_Ed_1932;NL_PvdA_NT;01jan1932;01jan2012;regular
NL_Berger_Jan_1918__NL_PvdA_NT__1;NL_Berger_Jan_1918;NL_PvdA_NT;01jan1918;15feb1971;regular
NL_Berger_Jan_1918__NL_DS70_NT__1;NL_Berger_Jan_1918;NL_DS70_NT;15feb1971;31dec1975;regular
NL_Bergkamp_Vera_1971__NL_D66_NT__1;NL_Bergkamp_Vera_1971;NL_D66_NT;01jan1971;01jan2051;regular
NL_Berkhouwer_Cees_1919__NL_VVD_NT__1;NL_Berkhouwer_Cees_1919;NL_VVD_NT;01jan1919;01jan1999;regular
NL_Berndsen_Magda_1950__NL_D66_NT__1;NL_Berndsen_Magda_1950;NL_D66_NT;01jan1950;01jan2030;regular
NL_Besselink_Marianne_1972__NL_PvdA_NT__1;NL_Besselink_Marianne_1972;NL_PvdA_NT;01jan1972;01jan2052;regular
NL_Beuker_Klaas_1924__NL_RKPN_NT__1;NL_Beuker_Klaas_1924;NL_RKPN_NT;01jan1924;01jan2004;regular
NL_Beumer_Bouke_1934__NL_ARP_NT__1;NL_Beumer_Bouke_1934;NL_ARP_NT;01jan1934;10oct1980;regular
NL_Beumer_Bouke_1934__NL_CDA_NT__1;NL_Beumer_Bouke_1934;NL_CDA_NT;11oct1980;01jan2014;regular
NL_Biesheuvel_Barend_1920__NL_ARP_NT__1;NL_Biesheuvel_Barend_1920;NL_ARP_NT;01jan1920;10oct1980;regular
NL_Biesheuvel_Barend_1920__NL_CDA_NT__1;NL_Biesheuvel_Barend_1920;NL_CDA_NT;11oct1980;01jan2000;regular
NL_Biesheuvel_Pieter_1949__NL_CDA_NT__1;NL_Biesheuvel_Pieter_1949;NL_CDA_NT;11oct1980;01jan2029;regular
NL_Biewenga_Arend_1903__NL_ARP_NT__1;NL_Biewenga_Arend_1903;NL_ARP_NT;01jan1903;10oct1980;regular
NL_Biewenga_Arend_1903__NL_CDA_NT__1;NL_Biewenga_Arend_1903;NL_CDA_NT;11oct1980;01jan1983;regular
NL_Bijleveld_Ank_1962__NL_CDA_NT__1;NL_Bijleveld_Ank_1962;NL_CDA_NT;11oct1980;01jan2042;regular
NL_Bijlhout_Philomena_1957__NL_LPF_NT__1;NL_Bijlhout_Philomena_1957;NL_LPF_NT;01jan1957;01jan2037;regular
NL_Bilder_Eddy_1964__NL_CDA_NT__1;NL_Bilder_Eddy_1964;NL_CDA_NT;11oct1980;01jan2044;regular
NL_Bischoff_Suzanne_1950__NL_D66_NT__1;NL_Bischoff_Suzanne_1950;NL_D66_NT;01jan1950;01jan2030;regular
NL_Biskop_Jack_1956__NL_CDA_NT__1;NL_Biskop_Jack_1956;NL_CDA_NT;11oct1980;01jan2036;regular
NL_Bisschop_Roelof_1956__NL_SGP_NT__1;NL_Bisschop_Roelof_1956;NL_SGP_NT;01jan1956;01jan2036;regular
NL_Blaauw_Jan_1941__NL_VVD_NT__1;NL_Blaauw_Jan_1941;NL_VVD_NT;01jan1941;01jan2021;regular
NL_Blaisse_Pieter_1911__NL_CDA_NT__1;NL_Blaisse_Pieter_1911;NL_CDA_NT;11oct1980;01jan1991;regular
NL_Blaisse_Pieter_1911__NL_KVP_NT__1;NL_Blaisse_Pieter_1911;NL_KVP_NT;01jan1911;10oct1980;regular
NL_Blanksma_Elly_1959__NL_CDA_NT__1;NL_Blanksma_Elly_1959;NL_CDA_NT;11oct1980;01jan2039;regular
NL_Blauw_Piet_1939__NL_VVD_NT__1;NL_Blauw_Piet_1939;NL_VVD_NT;01jan1939;01jan2019;regular
NL_Bloemen_Liesbeth_1954__NL_CDA_NT__1;NL_Bloemen_Liesbeth_1954;NL_CDA_NT;11oct1980;01jan2034;regular
NL_Blok_Stef_1964__NL_VVD_NT__1;NL_Blok_Stef_1964;NL_VVD_NT;01jan1964;01jan2044;regular
NL_Blom_Jaap_1898__NL_PvdA_NT__1;NL_Blom_Jaap_1898;NL_PvdA_NT;01jan1898;01jan1978;regular
NL_Blom_Luuk_1957__NL_PvdA_NT__1;NL_Blom_Luuk_1957;NL_PvdA_NT;01jan1957;01jan2037;regular
NL_Bode_Pieter_1926__NL_CDA_NT__1;NL_Bode_Pieter_1926;NL_CDA_NT;11oct1980;01jan2006;regular
NL_Bode_Pieter_1926__NL_CHU_NT__1;NL_Bode_Pieter_1926;NL_CHU_NT;01jan1926;10oct1980;regular
NL_Boekestijn_Arend_1959__NL_VVD_NT__1;NL_Boekestijn_Arend_1959;NL_VVD_NT;01jan1959;01jan2039;regular
NL_Boekhoven_Gerard_1909__NL_PvdA_NT__1;NL_Boekhoven_Gerard_1909;NL_PvdA_NT;01jan1909;01jan1989;regular
NL_Boelhouwer_Jan_1950__NL_PvdA_NT__1;NL_Boelhouwer_Jan_1950;NL_PvdA_NT;01jan1950;01jan2030;regular
NL_Boers_Mieke_1946__NL_CDA_NT__1;NL_Boers_Mieke_1946;NL_CDA_NT;11oct1980;01jan2026;regular
NL_Boers_Mieke_1946__NL_CHU_NT__1;NL_Boers_Mieke_1946;NL_CHU_NT;01jan1946;10oct1980;regular
NL_Boersma_Jaap_1929__NL_ARP_NT__1;NL_Boersma_Jaap_1929;NL_ARP_NT;01jan1929;10oct1980;regular
NL_Boersma_Jaap_1929__NL_CDA_NT__1;NL_Boersma_Jaap_1929;NL_CDA_NT;11oct1980;01jan2009;regular
NL_Boertien_Kees_1927__NL_ARP_NT__1;NL_Boertien_Kees_1927;NL_ARP_NT;01jan1927;10oct1980;regular
NL_Boertien_Kees_1927__NL_CDA_NT__1;NL_Boertien_Kees_1927;NL_CDA_NT;11oct1980;01jan2007;regular
NL_Bogaers_Pieter_1924__NL_CDA_NT__1;NL_Bogaers_Pieter_1924;NL_CDA_NT;11oct1980;01jan2004;regular
NL_Bogaers_Pieter_1924__NL_KVP_NT__1;NL_Bogaers_Pieter_1924;NL_KVP_NT;01jan1924;10oct1980;regular
NL_Bolhuis_Eppo_1953__NL_PvdA_NT__1;NL_Bolhuis_Eppo_1953;NL_PvdA_NT;01jan1953;01jan2033;regular
NL_Bolkestein_Frits_1933__NL_VVD_NT__1;NL_Bolkestein_Frits_1933;NL_VVD_NT;01jan1933;01jan2013;regular
NL_Bommer_Jan_1901__NL_PvdA_NT__1;NL_Bommer_Jan_1901;NL_PvdA_NT;09feb1946;01jan1981;regular
NL_Bommer_Jan_1901__NL_SDAP_NT__1;NL_Bommer_Jan_1901;NL_SDAP_NT;01jan1901;08feb1946;regular
NL_Bonis_Desiree_1959__NL_PvdA_NT__1;NL_Bonis_Desiree_1959;NL_PvdA_NT;01jan1959;01jan2039;regular
NL_Bonke_Vic_1940__NL_LPF_NT__1;NL_Bonke_Vic_1940;NL_LPF_NT;01jan1940;01jan2020;regular
NL_Bontes_Louis_1956__NL_PVV_NT__1;NL_Bontes_Louis_1956;NL_PVV_NT;01jan1956;01jan2036;regular
NL_Boogaard_Leo_1928__NL_AOV_NT__1;NL_Boogaard_Leo_1928;NL_AOV_NT;01jan1928;01jan2008;regular
NL_Boot_Gijs_1914__NL_CDA_NT__1;NL_Boot_Gijs_1914;NL_CDA_NT;11oct1980;01jan1994;regular
NL_Boot_Gijs_1914__NL_KVP_NT__1;NL_Boot_Gijs_1914;NL_KVP_NT;01jan1914;10oct1980;regular
NL_Borgman_Fred_1946__NL_ARP_NT__1;NL_Borgman_Fred_1946;NL_ARP_NT;01jan1946;10oct1980;regular
NL_Borgman_Fred_1946__NL_CDA_NT__1;NL_Borgman_Fred_1946;NL_CDA_NT;11oct1980;01jan2026;regular
NL_Borm_Bets_1918__NL_CDA_NT__1;NL_Borm_Bets_1918;NL_CDA_NT;11oct1980;01jan1998;regular
NL_Borm_Bets_1918__NL_KVP_NT__1;NL_Borm_Bets_1918;NL_KVP_NT;01jan1918;10oct1980;regular
NL_Borst_Cor_1891__NL_CPN_NT__1;NL_Borst_Cor_1891;NL_CPN_NT;01jan1891;01jan1971;regular
NL_Borst_Els_1932__NL_D66_NT__1;NL_Borst_Els_1932;NL_D66_NT;01jan1932;01jan2012;regular
NL_Bos_Corstiaan_1923__NL_CDA_NT__1;NL_Bos_Corstiaan_1923;NL_CDA_NT;11oct1980;01jan2003;regular
NL_Bos_Corstiaan_1923__NL_CHU_NT__1;NL_Bos_Corstiaan_1923;NL_CHU_NT;01jan1923;10oct1980;regular
NL_Bos_Wouter_1963__NL_PvdA_NT__1;NL_Bos_Wouter_1963;NL_PvdA_NT;01jan1963;01jan2043;regular
NL_Bosma_Martin_1964__NL_PVV_NT__1;NL_Bosma_Martin_1964;NL_PVV_NT;01jan1964;01jan2044;regular
NL_Bosman_Andre_1965__NL_VVD_NT__1;NL_Bosman_Andre_1965;NL_VVD_NT;01jan1965;01jan2045;regular
NL_Bosman_Clemens_1946__NL_CDA_NT__1;NL_Bosman_Clemens_1946;NL_CDA_NT;11oct1980;01jan2026;regular
NL_Bot_Theo_1911__NL_CDA_NT__1;NL_Bot_Theo_1911;NL_CDA_NT;11oct1980;01jan1991;regular
NL_Bot_Theo_1911__NL_KVP_NT__1;NL_Bot_Theo_1911;NL_KVP_NT;01jan1911;10oct1980;regular
NL_Bouchibti_Samira_1970__NL_PvdA_NT__1;NL_Bouchibti_Samira_1970;NL_PvdA_NT;01jan1970;01jan2050;regular
NL_Bouwmeester_Lea_1979__NL_PvdA_NT__1;NL_Bouwmeester_Lea_1979;NL_PvdA_NT;01jan1979;01jan2059;regular
NL_Braakhuis_Bruno_1961__NL_GL_NT__1;NL_Braakhuis_Bruno_1961;NL_GL_NT;01jan1961;01jan2041;regular
NL_Braams_Reinier_1923__NL_VVD_NT__1;NL_Braams_Reinier_1923;NL_VVD_NT;01jan1923;01jan2003;regular
NL_Braks_Gerrit_1933__NL_CDA_NT__1;NL_Braks_Gerrit_1933;NL_CDA_NT;11oct1980;01jan2013;regular
NL_Braks_Gerrit_1933__NL_KVP_NT__1;NL_Braks_Gerrit_1933;NL_KVP_NT;01jan1933;10oct1980;regular
NL_Brandsen_Bertus_1914__NL_CPN_NT__1;NL_Brandsen_Bertus_1914;NL_CPN_NT;01jan1914;05sep1989;regular
NL_Brandsen_Bertus_1914__NL_GL_NT__1;NL_Brandsen_Bertus_1914;NL_GL_NT;07sep1989;01jan1994;regular
NL_Brandsma_Cor_1904__NL_PvdA_NT__1;NL_Brandsma_Cor_1904;NL_PvdA_NT;01jan1904;01jan1984;regular
NL_Brautigam_Gerda_1913__NL_PvdA_NT__1;NL_Brautigam_Gerda_1913;NL_PvdA_NT;01jan1913;01jan1993;regular
NL_Bremen_Wiel_1925__NL_CDA_NT__1;NL_Bremen_Wiel_1925;NL_CDA_NT;11oct1980;01jan2005;regular
NL_Bremen_Wiel_1925__NL_KVP_NT__1;NL_Bremen_Wiel_1925;NL_KVP_NT;01jan1925;10oct1980;regular
NL_Bremmer_Cees_1948__NL_ARP_NT__1;NL_Bremmer_Cees_1948;NL_ARP_NT;01jan1948;10oct1980;regular
NL_Bremmer_Cees_1948__NL_CDA_NT__1;NL_Bremmer_Cees_1948;NL_CDA_NT;11oct1980;01jan2028;regular
NL_Brinkel_Theo_1958__NL_CDA_NT__1;NL_Brinkel_Theo_1958;NL_CDA_NT;11oct1980;01jan2038;regular
NL_Brinkhorst_Laurens_1937__NL_D66_NT__1;NL_Brinkhorst_Laurens_1937;NL_D66_NT;01jan1937;01jan2017;regular
NL_Brinkman_Elco_1948__NL_CDA_NT__1;NL_Brinkman_Elco_1948;NL_CDA_NT;11oct1980;01jan2028;regular
NL_Brinkman_Hero_1964__NL_PVV_NT__1;NL_Brinkman_Hero_1964;NL_PVV_NT;01jan1964;01jan2044;regular
NL_Broekhuis_Bert_1943__NL_PvdA_NT__1;NL_Broekhuis_Bert_1943;NL_PvdA_NT;01jan1943;01jan2023;regular
NL_Brokx_Gerrit_1933__NL_CDA_NT__1;NL_Brokx_Gerrit_1933;NL_CDA_NT;11oct1980;01jan2013;regular
NL_Brokx_Gerrit_1933__NL_KVP_NT__1;NL_Brokx_Gerrit_1933;NL_KVP_NT;01jan1933;10oct1980;regular
NL_Brood_Philippe_1964__NL_VVD_NT__1;NL_Brood_Philippe_1964;NL_VVD_NT;01jan1964;01jan2044;regular
NL_Broos_Rinus_1900__NL_KVP_NT__1;NL_Broos_Rinus_1900;NL_KVP_NT;01jan1900;01jan1980;regular
NL_Brouwer_Ina_1950__NL_CPN_NT__1;NL_Brouwer_Ina_1950;NL_CPN_NT;01jan1950;05sep1989;regular
NL_Brouwer_Ina_1950__NL_GL_NT__1;NL_Brouwer_Ina_1950;NL_GL_NT;07sep1989;01jan2030;regular
NL_Brouwer_Tiemen_1916__NL_CDA_NT__1;NL_Brouwer_Tiemen_1916;NL_CDA_NT;11oct1980;01jan1996;regular
NL_Brouwer_Tiemen_1916__NL_KVP_NT__1;NL_Brouwer_Tiemen_1916;NL_KVP_NT;01jan1916;10oct1980;regular
NL_Bruggeman_Hans_1927__NL_GL_NT__1;NL_Bruggeman_Hans_1927;NL_GL_NT;07sep1989;01jan2007;regular
NL_Bruggeman_Hans_1927__NL_PSP_NT__1;NL_Bruggeman_Hans_1927;NL_PSP_NT;01jan1927;05sep1989;regular
NL_Bruggeman_Jan_1927__NL_VVD_NT__1;NL_Bruggeman_Jan_1927;NL_VVD_NT;01jan1927;01jan2007;regular
NL_Bruins_Hanke_1977__NL_CDA_NT__1;NL_Bruins_Hanke_1977;NL_CDA_NT;11oct1980;01jan2057;regular
NL_Bruins_Sieuwert_1906__NL_ARP_NT__1;NL_Bruins_Sieuwert_1906;NL_ARP_NT;01jan1906;10oct1980;regular
NL_Bruins_Sieuwert_1906__NL_CDA_NT__1;NL_Bruins_Sieuwert_1906;NL_CDA_NT;11oct1980;01jan1986;regular
NL_Bruls_Hubert_1966__NL_CDA_NT__1;NL_Bruls_Hubert_1966;NL_CDA_NT;11oct1980;01jan2046;regular
NL_Buijs_Siem_1944__NL_CDA_NT__1;NL_Buijs_Siem_1944;NL_CDA_NT;11oct1980;01jan2024;regular
NL_Buikema_Jan_1944__NL_ARP_NT__1;NL_Buikema_Jan_1944;NL_ARP_NT;01jan1944;10oct1980;regular
NL_Buikema_Jan_1944__NL_CDA_NT__1;NL_Buikema_Jan_1944;NL_CDA_NT;11oct1980;01jan2024;regular
NL_Bukman_Piet_1934__NL_CDA_NT__1;NL_Bukman_Piet_1934;NL_CDA_NT;11oct1980;01jan2014;regular
NL_Burggraaf_Piet_1931__NL_GL_NT__1;NL_Burggraaf_Piet_1931;NL_GL_NT;07sep1989;01jan2011;regular
NL_Burggraaf_Piet_1931__NL_PSP_NT__1;NL_Burggraaf_Piet_1931;NL_PSP_NT;01jan1931;05sep1989;regular
NL_Bussemaker_Jet_1961__NL_PvdA_NT__1;NL_Bussemaker_Jet_1961;NL_PvdA_NT;01jan1961;01jan2041;regular
NL_Buurmeijer_Flip_1940__NL_PvdA_NT__1;NL_Buurmeijer_Flip_1940;NL_PvdA_NT;01jan1940;01jan2020;regular
NL_Calmeyer_Michael_1895__NL_CHU_NT__1;NL_Calmeyer_Michael_1895;NL_CHU_NT;01jan1895;01jan1975;regular
NL_Cals_Jo_1914__NL_CDA_NT__1;NL_Cals_Jo_1914;NL_CDA_NT;11oct1980;01jan1994;regular
NL_Cals_Jo_1914__NL_KVP_NT__1;NL_Cals_Jo_1914;NL_KVP_NT;01jan1914;10oct1980;regular
NL_Castricum_Frits_1947__NL_PvdA_NT__1;NL_Castricum_Frits_1947;NL_PvdA_NT;01jan1947;01jan2027;regular
NL_Celik_Metin_1970__NL_PvdA_NT__1;NL_Celik_Metin_1970;NL_PvdA_NT;01jan1970;01jan2050;regular
NL_Cherribi_Sam_1959__NL_VVD_NT__1;NL_Cherribi_Sam_1959;NL_VVD_NT;01jan1959;01jan2039;regular
NL_Coeruez_Coskun_1963__NL_CDA_NT__1;NL_Coeruez_Coskun_1963;NL_CDA_NT;11oct1980;01jan2043;regular
NL_Cohen_Job_1947__NL_PvdA_NT__1;NL_Cohen_Job_1947;NL_PvdA_NT;01jan1947;01jan2027;regular
NL_Coppes_Dolf_1925__NL_GL_NT__1;NL_Coppes_Dolf_1925;NL_GL_NT;07sep1989;01jan2005;regular
NL_Coppes_Dolf_1925__NL_PPR_NT__1;NL_Coppes_Dolf_1925;NL_PPR_NT;01jan1925;05sep1989;regular
NL_Cornelissen_Dien_1924__NL_CDA_NT__1;NL_Cornelissen_Dien_1924;NL_CDA_NT;11oct1980;01jan2004;regular
NL_Cornelissen_Dien_1924__NL_KVP_NT__1;NL_Cornelissen_Dien_1924;NL_KVP_NT;01jan1924;10oct1980;regular
NL_Cornelissen_Johan_1897__NL_VVD_NT__1;NL_Cornelissen_Johan_1897;NL_VVD_NT;01jan1897;01jan1977;regular
NL_Cornelissen_Pam_1934__NL_CDA_NT__1;NL_Cornelissen_Pam_1934;NL_CDA_NT;11oct1980;01jan2014;regular
NL_Cornelissen_Pam_1934__NL_KVP_NT__1;NL_Cornelissen_Pam_1934;NL_KVP_NT;01jan1934;10oct1980;regular
NL_Cornielje_Clemens_1958__NL_VVD_NT__1;NL_Cornielje_Clemens_1958;NL_VVD_NT;01jan1958;01jan2038;regular
NL_Corver_Han_1905__NL_VVD_NT__1;NL_Corver_Han_1905;NL_VVD_NT;01jan1905;01jan1985;regular
NL_Cotterell_Grace_1937__NL_D66_NT__1;NL_Cotterell_Grace_1937;NL_D66_NT;01jan1937;01jan2017;regular
